"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"1","X1",0,"Rejected"
"2","X2",0,"Rejected"
"3","X3",0,"Rejected"
"4","HEBP1",0,"Rejected"
"5","KCNE4",0,"Rejected"
"6","BPIFA3",0,"Rejected"
"7","LOC100129869",0,"Rejected"
"8","IRG1",0,"Rejected"
"9","SNAR.G2",0,"Rejected"
"10","LOC100506844",0,"Rejected"
"11","CKLF",0,"Rejected"
"12","MGST2",0,"Rejected"
"13","CLK1",0,"Rejected"
"14","OCLM",0,"Rejected"
"15","CASC2",0,"Rejected"
"16","PWRN1",0,"Rejected"
"17","MBNL3",0,"Rejected"
"18","CYB5R4",0,"Rejected"
"19","HOXC4",0,"Rejected"
"20","AK3",0,"Rejected"
"21","X21",0,"Rejected"
"22","FAR1",0,"Rejected"
"23","XLOC_l2_013153",0,"Rejected"
"24","LOC100129203",0,"Rejected"
"25","MAPK8",0,"Rejected"
"26","THAP3",0,"Rejected"
"27","XLOC_005939",0,"Rejected"
"28","TMEM14B",0,"Rejected"
"29","XLOC_005179",0,"Rejected"
"30","PHLPP1",0,"Rejected"
"31","KRT1",0,"Rejected"
"32","SDC4",0,"Rejected"
"33","XLOC_l2_015038",0,"Rejected"
"34","X34",0,"Rejected"
"35","X35",0,"Rejected"
"36","DKFZp547G183",0,"Rejected"
"37","X37",0,"Rejected"
"38","LOC286087",0,"Rejected"
"39","LOC389634",0,"Rejected"
"40","UBAP2L",0,"Rejected"
"41","TRAF4",0,"Rejected"
"42","FAM75C2",0,"Rejected"
"43","HAL",0,"Rejected"
"44","FUCA1",0,"Rejected"
"45","FCER1A",0,"Rejected"
"46","XLOC_001975",0,"Rejected"
"47","SMNDC1",0,"Rejected"
"48","LOC100507291",0,"Rejected"
"49","X49",0,"Rejected"
"50","DHX57",0,"Rejected"
"51","TCERG1L",0,"Rejected"
"52","XLOC_010597",0,"Rejected"
"53","PAFAH1B1",0,"Rejected"
"54","Q3AHP4",0,"Rejected"
"55","MT1X",0,"Rejected"
"56","LOC389831",0,"Rejected"
"57","TMEM191B",0,"Rejected"
"58","X58",0,"Rejected"
"59","C17orf104",0,"Rejected"
"60","X60",0,"Rejected"
"61","RNF13",0,"Rejected"
"62","PICALM",0,"Rejected"
"63","TRIM78P",0,"Rejected"
"64","SSFA2",0,"Rejected"
"65","DNAJA4",0,"Rejected"
"66","ACIN1",0,"Rejected"
"67","PRKD1",0,"Rejected"
"68","MAP3K9",0,"Rejected"
"69","SORD",0,"Rejected"
"70","XLOC_001602",0,"Rejected"
"71","SCGB1D4",0,"Rejected"
"72","LOC100287813",0,"Rejected"
"73","ZNF346",0,"Rejected"
"74","XLOC_000934",0,"Rejected"
"75","PCDH9",0,"Rejected"
"76","XLOC_014042",0,"Rejected"
"77","FIG4",0,"Rejected"
"78","ZSCAN21",0,"Rejected"
"79","IFNG",0,"Rejected"
"80","CISH",0,"Rejected"
"81","SCXA",0,"Rejected"
"82","TUBGCP3",0,"Rejected"
"83","FAS",0,"Rejected"
"84","XLOC_006644",0,"Rejected"
"85","EFNB2",0,"Rejected"
"86","CYP2S1",0,"Rejected"
"87","HSP90AA1",0,"Rejected"
