"","ADRM1","C1orf74","CCL2","CXCL2","DDX19B","E2F6","EIF4A1","FPR1","GPIHBP1","GTPBP4","HSPA8","IL20","IL6","ISG20L2","LCMT2","LILRB3","MRPL17","MYC","NAMPT","NME3","NOB1","NRAS","OSM","PPWD1","PTGS2","RBM8A","RND3","RPF2","RPL23AP32","RPP38","S100A12","SERPINA3","SERTAD1","SNORA31","SOCS1","STAT3","TMEM185B","TRNT1","TUBA1C","UTP14A","ZFP36"
"01V2L",10.20980364,7.849218144,9.094668442,3.074365688,9.130723444,8.476589217,13.02570778,4.581159375,5.701645409,9.538542312,12.97943631,2.684510536,3.779365201,9.073848662,7.937153314,4.435356856,8.752671359,10.82388884,10.93917302,8.824525233,9.678972016,10.56435667,2.86832716,8.859272877,6.731457318,11.43351589,10.08954023,9.099330185,1.529581101,7.949832411,2.524659797,5.264056872,8.118717051,1.756926526,5.294744167,11.74846209,9.598139183,7.875753038,12.30489583,8.523451877,10.65126709
"03V2L",10.66832944,8.191506569,9.400096633,2.401620642,8.900287079,8.833743629,14.14232347,5.25932091,4.927678921,10.60631719,14.11627158,3.258184678,3.463495242,9.875667239,8.305199268,4.89769714,9.61784291,11.12955687,12.89263154,8.799161184,10.34300469,10.95384959,2.996868078,8.976947593,6.412280039,12.14300705,10.24662815,10.27644948,1.595197852,8.560713326,3.28897001,6.150251486,8.734983925,2.25562571,5.510670243,12.76684586,9.945623141,8.596359744,13.17298259,9.682969469,10.97735291
"04V2L",10.16633508,7.712652182,9.606728347,3.467210842,9.244233558,8.106588828,12.74969566,5.141394833,5.755618878,9.38528855,12.82746171,1.769619826,4.65017962,9.037625033,7.671731379,4.685442477,8.520358895,10.4179271,11.05259286,8.568326267,9.566613058,10.7876421,3.769326674,8.88617849,7.553415255,11.50740477,10.38131035,8.980574137,1.488109355,8.037765357,2.448005657,5.70845553,8.199835787,1.715507116,5.909878425,11.7010695,9.44151428,7.519054211,11.80944443,8.189539982,11.36559148
"05V2L",10.1290654,7.480391167,7.386043606,2.560575509,9.018465916,8.093802978,12.83008145,4.174716886,5.42755816,9.372021844,12.92565248,2.040461899,3.059295065,8.910193208,7.685180051,4.056176497,8.398511083,9.944943369,10.80952906,8.770318334,9.495859934,10.53199178,2.721033388,8.823089004,6.723842566,11.01690081,10.15069494,8.778213794,1.396849666,8.092039881,2.628677723,7.111404347,7.958905052,2.013889278,5.566994363,11.78811269,9.103312067,7.68869143,11.94793555,8.462015466,10.13622078
"06V2L",10.22960868,7.457019658,8.226258536,2.497152395,9.208634411,8.077891474,13.34179004,5.841171632,4.63112897,9.482081839,13.07896276,1.782585839,3.339295941,9.034242012,7.611582172,5.054187821,8.970934925,9.821084654,11.59814442,8.641285238,9.612520575,10.9179553,2.841269709,8.733946448,6.497132451,11.33570371,10.25910712,9.015366213,1.30876966,8.213340214,2.925886746,7.301699499,8.605416551,1.795485724,5.728806135,11.81651953,9.421035459,7.645531358,12.45550283,8.597464172,10.37612575
"09V2L",10.2777853,7.917911439,8.625162516,2.821098298,9.178941616,8.094905575,13.39088075,5.820754598,5.075088518,9.639595211,13.512056,2.174462325,3.385178412,9.021273954,7.582375916,5.452602528,8.613863929,10.54538081,11.61378613,8.676284981,9.502186011,10.71919743,2.809210233,8.634250493,6.77057889,11.44484987,10.35347907,9.08180457,1.42361167,7.790075445,3.431584135,8.509491169,8.019165943,1.710309577,6.178332216,12.51388688,9.518326704,7.962225097,12.38340403,8.667239014,10.85555974
"10V2L",9.955066502,8.33293015,8.82367774,3.865923743,9.050079089,8.01172771,12.66956019,4.208260264,6.366813767,9.084821998,12.79233275,2.071193239,4.736495112,9.000534442,7.586452991,4.658964925,8.30730252,11.81028329,10.62014829,9.006167389,9.260629628,10.44569473,3.076517553,8.814235007,10.16541266,11.15033122,10.97627578,8.59419068,1.560509733,7.858761495,2.526564838,5.811483996,9.276904873,2.656220047,6.22297068,11.57489241,9.487160303,7.406028683,11.50225847,7.916849334,13.51003951
"12V2L",10.15140082,7.38156057,10.0851582,3.511313803,8.838132297,8.027870853,12.82473507,5.279416226,5.758262854,9.563048487,13.32572332,1.71691114,5.273560501,9.198402775,7.755230609,5.039576843,8.583334926,11.11401111,11.25772996,8.89711415,9.534443175,10.56032305,3.283160974,8.91996254,8.110443956,11.24607792,10.49904992,8.887354388,1.408580909,7.964417038,2.844262811,4.854504615,8.649521053,2.11495649,5.910256695,11.88314935,9.471291728,7.837082181,11.97301263,8.589256761,12.46397923
"01V2NL",10.17773342,7.319079626,7.1661725,2.483940873,9.371642666,8.017587174,12.77308733,3.790584724,5.410751664,9.149562394,12.67584483,1.746605854,2.669523556,8.936993843,7.573503985,3.935161105,8.441011229,10.03333567,10.65018212,8.815234587,9.613779764,10.61943837,2.471317807,8.910285294,5.89535498,11.25947558,10.07659042,8.598735594,1.415615239,7.875219253,2.234565743,6.886927491,7.845311847,1.823140582,5.264060004,11.64617964,9.183787605,7.689826644,11.87130264,8.384722458,10.13240709
"03V2NL",10.1262272,7.658484685,7.021973783,2.465600943,9.064854417,8.25579974,12.91695705,3.652115698,5.288767761,9.450714244,12.72530894,1.859891209,2.652263766,8.965019776,7.818171372,3.959625079,8.49639437,10.09167013,10.95695687,8.956763353,9.859616105,10.81080138,2.332405544,8.988767444,6.47636883,11.48576874,9.863933908,8.988582986,1.311904246,8.06850173,2.287058234,4.601958404,7.811655161,2.037912161,4.893382549,11.95171821,9.197604726,7.584867935,11.81438952,8.607022559,10.19193362
